Année,Rang,Département,Revenu
2022,1,Paris,4 269 €
2022,2,Hauts-de-Seine,3 989 €
2022,3,Yvelines,3 523 €
2022,4,Haute-Savoie,3 262 €
2022,5,Ain,2 808 €
2022,6,Rhône,2 746 €
2022,7,Val-de-Marne,2 709 €
2022,8,Haut-Rhin,2 698 €
2022,9,Essonne,2 678 €
2022,10,Isère,2 537 €
2022,11,Alpes-Maritimes,2 533 €
2022,12,Loire-Atlantique,2 527 €
2022,13,Seine-et-Marne,2 518 €
2022,14,Bas-Rhin,2 509 €
2022,15,Savoie,2 507 €
2022,16,Haute-Garonne,2 507 €
2022,17,Gironde,2 488 €
2022,18,Ille-et-Vilaine,2 488 €
2022,19,Doubs,2 483 €
2022,20,Val-d'Oise,2 439 €
2022,21,Côte-d'Or,2 439 €
2022,22,Pyrénées-Atlantiques,2 408 €
2022,23,Var,2 405 €
2022,24,Oise,2 393 €
2022,25,Bouches-du-Rhône,2 392 €
2022,26,Corse-du-Sud,2 364 €
2022,27,Vendée,2 360 €
2022,28,Marne,2 357 €
2022,29,Indre-et-Loire,2 341 €
2022,30,Morbihan,2 338 €
2022,31,Loiret,2 335 €
2022,32,Eure-et-Loir,2 335 €
2022,33,Calvados,2 314 €
2022,34,Jura,2 314 €
2022,35,Moselle,2 313 €
2022,36,Territoire de Belfort,2 311 €
2022,37,Maine-et-Loire,2 305 €
2022,38,Finistère,2 296 €
2022,39,Meurthe-et-Moselle,2 292 €
2022,40,Charente-Maritime,2 283 €
2022,41,Puy-de-Dôme,2 265 €
2022,42,Drôme,2 259 €
2022,43,Landes,2 251 €
2022,44,Eure,2 230 €
2022,45,Hérault,2 224 €
2022,46,Mayenne,2 220 €
2022,47,Seine-Maritime,2 216 €
2022,48,Côtes-d'Armor,2 216 €
2022,49,Manche,2 206 €
2022,50,Loire,2 192 €
2022,51,Saône-et-Loire,2 187 €
2022,52,Loir-et-Cher,2 175 €
2022,53,Sarthe,2 174 €
2022,54,Deux-Sèvres,2 174 €
2022,55,Nord,2 166 €
2022,56,Vaucluse,2 137 €
2022,57,Hautes-Alpes,2 119 €
2022,58,Aube,2 116 €
2022,59,Gard,2 114 €
2022,60,Ardèche,2 110 €
2022,61,Vienne,2 109 €
2022,62,Haute-Vienne,2 108 €
2022,63,Corrèze,2 107 €
2022,64,Alpes-de-Haute-Provence,2 101 €
2022,65,Cher,2 100 €
2022,66,Haute-Loire,2 097 €
2022,67,Aveyron,2 095 €
2022,68,Tarn,2 094 €
2022,69,Yonne,2 091 €
2022,70,Gers,2 086 €
2022,71,Lot,2 082 €
2022,72,Haute-Corse,2 081 €
2022,73,Charente,2 078 €
2022,74,Somme,2 075 €
2022,75,Tarn-et-Garonne,2 061 €
2022,76,Haute-Saône,2 057 €
2022,77,Vosges,2 053 €
2022,78,Meuse,2 049 €
2022,79,Orne,2 028 €
2022,80,Lot-et-Garonne,2 015 €
2022,81,Dordogne,2 000 €
2022,82,Haute-Marne,1 990 €
2022,83,Cantal,1 987 €
2022,84,Pyrénées-Orientales,1 983 €
2022,85,Pas-de-Calais,1 978 €
2022,86,Allier,1 975 €
2022,87,Aisne,1 957 €
2022,88,Lozère,1 956 €
2022,89,Hautes-Pyrénées,1 941 €
2022,90,Ardennes,1 934 €
2022,91,Indre,1 929 €
2022,92,Nièvre,1 920 €
2022,93,Aude,1 903 €
2022,94,Seine-Saint-Denis,1 885 €
2022,95,Ariège,1 833 €
2022,96,Creuse,1 775 €
2022,97,Martinique,1 712 €
2022,98,La Réunion,1 647 €
2022,99,Guyane,1 614 €
2022,100,Guadeloupe,1 538 €
2022,101,Mayotte,1 209 €
